family_A,family_B,switch_A,total_A,switch_B,total_B,phi_A,phi_B,diff_phi,z,p,q
anthropic,deepseek,1,360,8,180,0.002777777777777778,0.044444444444444446,-0.04166666666666667,-3.5653701640614632,0.00036334300271864884,0.00040371444746516535
anthropic,gemini,1,360,129,360,0.002777777777777778,0.35833333333333334,-0.35555555555555557,-12.401623311332793,2.5608254683449326e-35,2.5608254683449324e-34
anthropic,grok,1,360,41,450,0.002777777777777778,0.09111111111111111,-0.08833333333333333,-5.634032925793794,1.760433876013072e-08,2.591299373075271e-08
anthropic,openai,1,360,106,450,0.002777777777777778,0.23555555555555555,-0.23277777777777778,-9.722366382601077,2.420888304371365e-22,1.2104441521856825e-21
deepseek,gemini,8,180,129,360,0.044444444444444446,0.35833333333333334,-0.3138888888888889,-7.902190933077263,2.7404320320363997e-15,6.851080080090999e-15
deepseek,grok,8,180,41,450,0.044444444444444446,0.09111111111111111,-0.04666666666666667,-1.9757566798144264,0.048182341993392226,0.048182341993392226
deepseek,openai,8,180,106,450,0.044444444444444446,0.23555555555555555,-0.1911111111111111,-5.628872935705316,1.8139095611526896e-08,2.591299373075271e-08
gemini,grok,129,360,41,450,0.35833333333333334,0.09111111111111111,0.26722222222222225,9.280217188524011,1.6913344805183504e-20,5.637781601727834e-20
gemini,openai,129,360,106,450,0.35833333333333334,0.23555555555555555,0.12277777777777779,3.826061369858101,0.00013020984146886307,0.00016276230183607883
grok,openai,41,450,106,450,0.09111111111111111,0.23555555555555555,-0.14444444444444443,-5.861090885908172,4.598361943752309e-09,9.196723887504617e-09
