family,model_A,model_B,A_counts,B_counts,C_counts,N_total,chi2,dof,p,cramer_v,q
openai,gpt41,gpt5,43:0,43:50,4:40,180,72.98142717497556,2,1.4199872609585044e-16,0.636751421823547,1.1714894902907662e-15
openai,gpt41,gpt5mini,43:12,43:31,4:47,180,55.67357517945753,2,8.140231498211942e-13,0.5561453406132926,3.837537706299916e-12
openai,gpt41,gpt5nano,43:34,43:34,4:22,180,14.565434565434565,2,0.0006873153937125723,0.2844627935584563,0.0009450586663547869
openai,gpt41,o3,43:6,43:64,4:20,180,42.72693750397356,2,5.271854393343085e-10,0.48720824605303564,1.739711949803218e-09
openai,gpt5,gpt5mini,0:12,50:31,40:47,180,17.02000851426139,2,0.00020144296734133762,0.3074989477331715,0.00030216445101200644
openai,gpt5,gpt5nano,0:34,50:34,40:22,180,42.27342549923195,2,6.613666436380517e-10,0.48461568679173184,1.984099930914155e-09
openai,gpt5,o3,0:6,50:64,40:20,180,14.385964912280702,2,0.0007518434332622059,0.28270484129290807,0.0009924333319061118
openai,gpt5mini,gpt5nano,12:34,31:34,47:22,180,19.718171683389073,2,5.2270110997810145e-05,0.3309764315492123,8.213874585370165e-05
openai,gpt5mini,o3,12:6,31:64,47:20,180,24.343754909662213,2,5.173932838652814e-06,0.3677541064780334,8.536989183777143e-06
openai,gpt5nano,o3,34:6,34:64,22:20,180,28.878911564625852,2,5.358263070986126e-07,0.4005476221140936,1.0401334196620126e-06
grok,grok3,grok3mini,40:3,35:79,15:8,180,50.95010022528516,2,8.636271957392118e-12,0.532030179935965,3.562462182424249e-11
grok,grok3,grok4,40:0,35:87,15:3,180,70.1639344262295,2,5.808917720626322e-16,0.6243393594042226,3.833885695613372e-15
grok,grok3,grok4fastnonreasoning,40:13,35:22,15:55,180,39.57677211897669,2,2.5469072436695564e-09,0.468903994668991,7.003994920091279e-09
grok,grok3,grok4fastreasoning,40:2,35:59,15:29,180,44.963157409965916,2,1.7233537120519067e-10,0.4997952770327618,6.318963610856991e-10
grok,grok3mini,grok4,3:0,79:87,8:3,180,5.6582694414019725,2,0.05906393836818261,0.17729870340758547,0.06090968644218832
grok,grok3mini,grok4fastnonreasoning,3:13,79:22,8:55,180,73.48180889517523,2,1.1056761411873781e-16,0.638930568716087,1.1714894902907662e-15
grok,grok3mini,grok4fastreasoning,3:2,79:59,8:29,180,15.0174696435566,2,0.0005482743148169964,0.28884318740217463,0.0007866544516939515
grok,grok4,grok4fastnonreasoning,0:13,87:22,3:55,180,98.38215754508067,2,4.330977526915845e-22,0.7393020640557653,1.4292225838822287e-20
grok,grok4,grok4fastreasoning,0:2,87:59,3:29,180,28.49486301369863,2,6.492606994387495e-07,0.3978753504812128,1.127663320077828e-06
grok,grok4fastnonreasoning,grok4fastreasoning,13:2,22:59,55:29,180,33.01552028218695,2,6.77284071869969e-08,0.4282750951471038,1.396898398231811e-07
gemini,gemini25flash,gemini25flashlite,2:35,60:33,28:22,180,37.991142109851786,2,5.627665947414741e-09,0.4594147370408221,1.3265212590334747e-08
gemini,gemini25flash,gemini25pro,2:2,60:43,28:45,180,6.764729352307487,2,0.03396703864676724,0.19386033564151692,0.036158460494945775
gemini,gemini25flash,gemini2flash,2:15,60:47,28:28,180,11.520615722924685,2,0.003150141641933516,0.25298897344136345,0.0035846439373726216
gemini,gemini25flashlite,gemini25pro,35:2,33:43,22:45,180,38.643744294176344,2,4.060855598094104e-09,0.4633437906144634,1.030832574900811e-08
gemini,gemini25flashlite,gemini2flash,35:15,33:47,22:28,180,11.169999999999998,2,0.003753749769770263,0.24910952522044505,0.0041291247467472895
gemini,gemini25pro,gemini2flash,2:15,43:47,45:28,180,14.077858357955055,2,0.0008770652394874147,0.27966108812428914,0.0011131981885801803
anthropic,claudehaiku35,claudeopus4,12:31,49:42,29:17,180,12.064245158279538,2,0.002400393542234523,0.2588891349838075,0.0028290352462049737
anthropic,claudehaiku35,claudesonnet37,12:11,49:54,29:25,180,0.5824930037678032,2,0.7473314367040621,0.05688648559328008,0.7473314367040621
anthropic,claudehaiku35,claudesonnet45,12:0,49:29,29:61,180,28.505982905982908,2,6.456608616432723e-07,0.3979529767446212,1.127663320077828e-06
anthropic,claudeopus4,claudesonnet37,31:11,42:54,17:25,180,12.547619047619047,2,0.0018850338064070713,0.26402461004420535,0.002303930207830865
anthropic,claudeopus4,claudesonnet45,31:0,42:29,17:61,180,58.200794510653665,2,2.300689713913034e-13,0.5686279515477667,1.265379342652169e-12
anthropic,claudesonnet37,claudesonnet45,11:0,54:29,25:61,180,33.599887923788174,2,5.056814714714359e-08,0.4320486593209675,1.112499237237159e-07
deepseek,deepseekchat,deepseekreasoner,41:1,7:61,42:28,180,83.77759103641458,2,6.425800719887527e-19,0.6822250811230955,1.060257118781442e-17
